Practice_Exam,Final_Exam,User,Avg_Grade_Q1,Avg_Grade_Q2,Avg_Grade_Q3,Avg_Grade_Q4,Student_ID
8.33,8.98,1,5,10,10,10,1046
3.89,6.48,0,0,0,0,0,1048
7.64,6.9,1,9,10,10,10,1050
5.97,7.69,1,6,9,5,4,1052
3.89,7.78,1,8.33,10,10,10,1054
4.72,6.02,1,6.67,8,9,10,1056
4.72,6.02,1,8,5,6.5,8,1058
3.89,3.98,0,0,0,0,0,1060
7.64,2.96,0,0,0,0,0,1062
5.56,7.64,1,8.5,8,8,10,1064
3.75,6.3,0,0,0,0,0,1066
8.33,7.25,1,3,10,6,6.5,1070
5,6.53,1,9.33,10,8,10,1078
4.58,5.28,1,9.5,10,3,7,1080
7.78,7.59,1,6,4,2,2,1082
8.61,6.94,0,0,0,0,0,1084
7.5,5.79,1,7.33,7,2,5,1088
9.58,8.87,0,0,0,0,0,1090
7.78,5.6,1,0,2,3,4,1092
8.89,7.36,0,0,0,0,0,1094
7.92,9.07,1,6.25,9,4.25,8,1096
9.17,8.52,1,7,10,6.5,8,1100
7.08,6.55,0,0,0,0,0,1102
7.22,5.74,1,7,10,8,9,1104
6.81,9.17,1,8,10,5,9,1106
3.06,8.24,1,8,6,5,0,1108
3.06,3.98,0,0,0,0,0,1110
6.67,7.01,0,0,0,0,0,1112
8.33,9.24,1,7.67,8.67,5.5,9.33,1114
4.86,6.3,0,0,0,0,0,1116
5,7.36,1,7.67,8,3,3,1118
0,7.59,0,0,0,0,0,1120
5.56,6.94,1,2.67,6,2,7,1122
7.5,9.72,1,6,0,0,0,1124
7.5,5.93,0,0,0,0,0,1126
6.11,7.41,1,9,8,6,8,1128
5.28,9.07,1,7,10,4,10,1130
5.28,7.5,1,5,8,0,5,1132
0,7.04,0,0,0,0,0,1134
6.11,6.99,0,0,0,0,0,1136
3.61,7.82,1,7,8,8,7,1138
3.89,8.7,1,0,8,8,10,1144
4.31,5.93,1,8,10,7,1,1146
1.39,6.71,1,7.5,7.33,7.33,7.25,1148
4.44,8.89,1,6,9,7,10,1152
9.17,9.17,1,7,6,2,3,1154
7.64,7.13,1,5,8,3.67,0,1157
5.7,7.22,0,0,0,0,0,1160
3.47,5.37,0,0,0,0,0,1163
2.08,5.83,1,2,7,3,1,1166
3.47,4.72,0,0,0,0,0,1169
8.19,9.03,1,7,6,5,8,1172
0.97,6.85,0,0,0,0,0,1175
6.67,5.28,1,5,5,2,7,1178
5.69,7.69,1,6,7,7,8,1187
10,8.7,0,0,0,0,0,1190
3.47,6.2,1,5,6,6,9,1196
2.22,5,1,9,6,4,5,1202
5,7.87,1,5,10,3,9,1205
7.22,3.8,0,0,0,0,0,1208
6.81,8.06,1,9.33,9,9,10,1211
5.14,9.72,1,5,8,2.5,9,1217
8.47,7.69,1,4,8,5,8,1220
